Sample_ID,Temperature_C,Applied_Voltage,Droplet_Volume_pL,DVR,Impact_Velocity_m_s,Spread_Radius,VO2_State,Resistance_Ohm
SAMP-0275,86.2,4.35,4.026,3.355,2.79,941.3346,CONDUCTIVE_METAL,2.98
SAMP-0276,68.33,4.77,4.261,3.5508,2.57,907.9326,CONDUCTIVE_METAL,2.82
SAMP-0277,43.21,0.32,3.269,2.7242,5.0,1423.8759,INSULATOR,272416.67
SAMP-0278,70.76,7.93,0.628,0.5233,3.91,299.5667,CONDUCTIVE_METAL,19.11
SAMP-0279,61.6,2.81,3.751,3.1258,2.42,770.8801,INSULATOR,312583.33
SAMP-0280,80.96,7.17,1.069,0.8908,2.63,302.8803,CONDUCTIVE_METAL,11.23
SAMP-0281,58.27,2.53,4.507,3.7558,4.69,1733.8964,INSULATOR,375583.33
SAMP-0282,35.54,9.08,1.424,1.1867,2.05,296.6756,CONDUCTIVE_METAL,8.43
SAMP-0283,42.18,9.57,4.72,3.9333,3.95,1515.8227,CONDUCTIVE_METAL,2.54
SAMP-0284,91.08,0.22,0.747,0.6225,4.65,405.799,CONDUCTIVE_METAL,16.06
SAMP-0285,67.12,9.93,2.23,1.8583,1.3,270.8154,CONDUCTIVE_METAL,5.38
SAMP-0286,70.0,0.76,0.646,0.5383,2.26,176.8261,CONDUCTIVE_METAL,18.58
SAMP-0287,42.28,1.55,4.767,3.9725,4.62,1787.1696,INSULATOR,397250.0
SAMP-0288,67.92,3.2,0.667,0.5558,4.8,384.6325,INSULATOR,55583.33
SAMP-0289,93.24,2.99,4.567,3.8058,4.03,1505.907,CONDUCTIVE_METAL,2.63
SAMP-0290,40.38,5.98,1.294,1.0783,1.78,238.561,CONDUCTIVE_METAL,9.27
SAMP-0291,67.11,5.67,1.471,1.2258,1.58,234.7149,CONDUCTIVE_METAL,8.16
SAMP-0292,98.19,3.56,4.137,3.4475,2.14,738.1376,CONDUCTIVE_METAL,2.9
SAMP-0293,47.32,9.73,4.794,3.995,2.75,1068.6494,CONDUCTIVE_METAL,2.5
SAMP-0294,55.6,0.12,2.442,2.035,4.77,1070.2625,INSULATOR,203500.0
SAMP-0295,66.89,7.23,0.728,0.6067,4.05,346.6083,CONDUCTIVE_METAL,16.48
SAMP-0296,97.88,1.78,2.37,1.975,3.02,661.228,CONDUCTIVE_METAL,5.06
SAMP-0297,44.62,6.47,4.627,3.8558,3.39,1280.1849,CONDUCTIVE_METAL,2.59
SAMP-0298,69.85,4.5,1.464,1.22,3.04,449.8709,CONDUCTIVE_METAL,8.2
SAMP-0299,71.6,6.75,1.514,1.2617,4.5,684.209,CONDUCTIVE_METAL,7.93
SAMP-0300,58.27,9.28,1.586,1.3217,2.04,322.0415,CONDUCTIVE_METAL,7.57
SAMP-0301,58.0,5.15,0.951,0.7925,1.83,192.2928,CONDUCTIVE_METAL,12.62
SAMP-0302,80.35,3.64,3.24,2.7,4.72,1334.4001,CONDUCTIVE_METAL,3.7
SAMP-0303,79.06,4.59,3.069,2.5575,3.87,1046.7143,CONDUCTIVE_METAL,3.91
SAMP-0304,22.75,3.33,3.52,2.9333,1.92,580.7645,INSULATOR,293333.33
SAMP-0305,79.61,1.11,3.171,2.6425,1.65,458.3495,CONDUCTIVE_METAL,3.78
SAMP-0306,66.56,7.58,1.43,1.1917,4.76,691.2007,CONDUCTIVE_METAL,8.39
SAMP-0307,96.52,8.58,2.207,1.8392,1.85,382.1404,CONDUCTIVE_METAL,5.44
SAMP-0308,58.75,2.95,3.36,2.8,1.83,532.9432,INSULATOR,280000.0
SAMP-0309,85.19,7.14,2.938,2.4483,3.68,960.4744,CONDUCTIVE_METAL,4.08
SAMP-0310,26.72,2.61,0.832,0.6933,1.57,148.7606,INSULATOR,69333.33
SAMP-0311,69.23,2.57,2.929,2.4408,3.1,807.069,CONDUCTIVE_METAL,4.1
SAMP-0312,57.69,8.86,3.881,3.2342,3.49,1142.9494,CONDUCTIVE_METAL,3.09
SAMP-0313,23.87,8.57,2.126,1.7717,4.64,929.6203,CONDUCTIVE_METAL,5.64
SAMP-0314,56.7,5.94,3.284,2.7367,3.34,954.7088,CONDUCTIVE_METAL,3.65
SAMP-0315,29.0,6.29,0.823,0.6858,2.94,276.2544,CONDUCTIVE_METAL,14.58
SAMP-0316,22.69,5.35,1.753,1.4608,4.18,715.6625,CONDUCTIVE_METAL,6.85
SAMP-0317,56.67,1.98,2.728,2.2733,4.37,1073.4676,INSULATOR,227333.33
SAMP-0318,91.37,1.19,2.175,1.8125,4.69,957.2873,CONDUCTIVE_METAL,5.52
SAMP-0319,31.5,6.23,4.681,3.9008,4.36,1661.9921,CONDUCTIVE_METAL,2.56
SAMP-0320,52.2,0.24,3.016,2.5133,3.12,831.9386,INSULATOR,251333.33
SAMP-0321,36.01,9.13,2.839,2.3658,3.34,847.6494,CONDUCTIVE_METAL,4.23
SAMP-0322,97.97,2.35,3.239,2.6992,3.94,1113.6042,CONDUCTIVE_METAL,3.7
SAMP-0323,91.1,9.86,2.978,2.4817,4.49,1184.9053,CONDUCTIVE_METAL,4.03
SAMP-0324,71.61,0.52,4.897,4.0808,4.38,1731.4909,CONDUCTIVE_METAL,2.45
SAMP-0325,63.26,2.29,3.431,2.8592,4.6,1362.6759,INSULATOR,285916.67
SAMP-0326,33.8,0.54,3.292,2.7433,3.41,976.6546,INSULATOR,274333.33
SAMP-0327,29.16,4.45,3.767,3.1392,2.87,917.3962,INSULATOR,313916.67
SAMP-0328,67.81,7.91,1.74,1.45,1.89,321.6385,CONDUCTIVE_METAL,6.9
SAMP-0329,93.11,9.71,3.789,3.1575,4.36,1400.2908,CONDUCTIVE_METAL,3.17
SAMP-0330,54.04,4.15,4.656,3.88,2.15,816.0242,INSULATOR,388000.0
SAMP-0331,45.08,1.41,4.252,3.5433,2.54,895.7982,INSULATOR,354333.33
SAMP-0332,99.6,1.0,2.087,1.7392,3.3,651.2341,CONDUCTIVE_METAL,5.75
SAMP-0333,60.48,5.71,2.773,2.3108,3.77,938.5534,CONDUCTIVE_METAL,4.33
SAMP-0334,69.05,7.02,3.916,3.2633,2.79,920.3942,CONDUCTIVE_METAL,3.06
SAMP-0335,67.43,3.7,4.901,4.0842,1.39,549.8531,INSULATOR,408416.67
SAMP-0336,72.37,7.0,2.409,2.0075,1.26,279.583,CONDUCTIVE_METAL,4.98
SAMP-0337,61.68,3.09,2.497,2.0808,4.28,977.971,INSULATOR,208083.33
SAMP-0338,60.39,9.85,4.708,3.9233,2.16,827.2041,CONDUCTIVE_METAL,2.55
SAMP-0339,99.98,1.19,4.212,3.51,4.85,1697.429,CONDUCTIVE_METAL,2.85
SAMP-0340,86.36,5.16,0.75,0.625,4.1,358.891,CONDUCTIVE_METAL,16.0
SAMP-0341,44.0,7.52,3.129,2.6075,1.81,497.3513,CONDUCTIVE_METAL,3.84
SAMP-0342,67.81,6.14,1.809,1.5075,2.67,468.9682,CONDUCTIVE_METAL,6.63
SAMP-0343,47.4,4.49,3.293,2.7442,3.3,945.3838,INSULATOR,274416.67
SAMP-0344,91.21,0.59,1.442,1.2017,4.06,593.5321,CONDUCTIVE_METAL,8.32
SAMP-0345,25.01,9.84,1.196,0.9967,1.59,200.1255,CONDUCTIVE_METAL,10.03
SAMP-0346,74.26,6.86,0.589,0.4908,1.22,89.1482,CONDUCTIVE_METAL,20.37
SAMP-0347,60.85,7.58,2.136,1.78,2.95,593.2992,CONDUCTIVE_METAL,5.62
SAMP-0348,60.58,3.8,1.008,0.84,3.8,417.8781,INSULATOR,84000.0
SAMP-0349,39.23,2.75,1.625,1.3542,4.39,706.7829,INSULATOR,135416.67
SAMP-0350,30.03,5.9,3.117,2.5975,1.3,356.0945,CONDUCTIVE_METAL,3.85
SAMP-0351,95.71,5.44,1.29,1.075,3.01,402.4119,CONDUCTIVE_METAL,9.3
SAMP-0352,41.51,2.1,2.338,1.9483,2.34,506.6796,INSULATOR,194833.33
SAMP-0353,66.34,1.42,1.903,1.5858,2.25,411.8322,INSULATOR,158583.33
SAMP-0354,59.93,7.56,1.357,1.1308,1.89,263.1336,CONDUCTIVE_METAL,8.84
SAMP-0355,94.5,2.11,3.22,2.6833,3.21,902.9304,CONDUCTIVE_METAL,3.73
SAMP-0356,74.78,2.19,1.21,1.0083,3.87,491.6281,CONDUCTIVE_METAL,9.92
SAMP-0357,93.03,1.77,2.445,2.0375,3.38,759.1449,CONDUCTIVE_METAL,4.91
SAMP-0358,34.47,4.64,2.668,2.2233,4.64,1119.2497,INSULATOR,222333.33
SAMP-0359,83.31,1.33,3.841,3.2008,3.18,1032.6944,CONDUCTIVE_METAL,3.12
SAMP-0360,62.32,2.05,4.742,3.9517,1.26,485.3463,INSULATOR,395166.67
SAMP-0361,59.79,3.89,2.298,1.915,4.17,890.2812,INSULATOR,191500.0
SAMP-0362,89.03,3.56,0.532,0.4433,4.73,320.8813,CONDUCTIVE_METAL,22.56
SAMP-0363,29.73,3.57,1.801,1.5008,2.28,399.0265,INSULATOR,150083.33
SAMP-0364,29.99,2.7,3.327,2.7725,2.07,598.0038,INSULATOR,277250.0
SAMP-0365,96.33,6.15,2.205,1.8375,1.69,348.8319,CONDUCTIVE_METAL,5.44
SAMP-0366,91.8,0.08,3.932,3.2767,1.75,579.2236,CONDUCTIVE_METAL,3.05
SAMP-0367,80.14,9.41,3.797,3.1642,2.48,797.8629,CONDUCTIVE_METAL,3.16
SAMP-0368,36.81,8.76,2.533,2.1108,2.11,487.8079,CONDUCTIVE_METAL,4.74
SAMP-0369,54.94,0.37,3.929,3.2742,1.24,410.1669,INSULATOR,327416.67
SAMP-0370,80.8,1.82,1.653,1.3775,4.58,747.6498,CONDUCTIVE_METAL,7.26
SAMP-0371,30.98,9.81,2.409,2.0075,1.57,348.3692,CONDUCTIVE_METAL,4.98
SAMP-0372,75.45,1.1,1.481,1.2342,4.27,637.7983,CONDUCTIVE_METAL,8.1
SAMP-0373,84.01,6.54,3.704,3.0867,1.03,324.7533,CONDUCTIVE_METAL,3.24
SAMP-0374,60.02,3.73,1.875,1.5625,2.91,526.2457,INSULATOR,156250.0
SAMP-0375,92.54,3.29,4.601,3.8342,3.9,1466.0899,CONDUCTIVE_METAL,2.61
SAMP-0376,48.01,7.55,3.114,2.595,2.41,659.6255,CONDUCTIVE_METAL,3.85
SAMP-0377,63.4,4.69,4.968,4.14,2.51,1003.8215,INSULATOR,414000.0
SAMP-0378,49.16,2.32,2.689,2.2408,1.33,322.883,INSULATOR,224083.33
SAMP-0379,51.31,0.77,3.53,2.9417,2.47,748.8581,INSULATOR,294166.67
SAMP-0380,67.49,4.58,3.836,3.1967,1.29,418.4798,INSULATOR,319666.67
SAMP-0381,88.94,3.29,4.677,3.8975,4.51,1717.9845,CONDUCTIVE_METAL,2.57
SAMP-0382,22.76,6.62,1.612,1.3433,2.4,383.8911,CONDUCTIVE_METAL,7.44
SAMP-0383,61.51,4.76,0.684,0.57,3.72,303.7625,INSULATOR,57000.0
SAMP-0384,46.4,7.1,1.706,1.4217,2.78,465.5791,CONDUCTIVE_METAL,7.03
SAMP-0385,41.48,3.27,4.161,3.4675,3.42,1185.187,INSULATOR,346750.0
SAMP-0386,99.85,0.77,3.946,3.2883,1.39,461.3992,CONDUCTIVE_METAL,3.04
SAMP-0387,25.93,8.31,3.189,2.6575,2.47,689.3134,CONDUCTIVE_METAL,3.76
SAMP-0388,25.46,8.23,3.457,2.8808,1.37,408.3456,CONDUCTIVE_METAL,3.47
SAMP-0389,30.42,0.9,2.07,1.725,1.51,296.0063,INSULATOR,172500.0
SAMP-0390,46.31,1.82,4.814,4.0117,3.27,1274.9954,INSULATOR,401166.67
SAMP-0391,24.37,4.97,4.914,4.095,4.14,1641.1917,INSULATOR,409500.0
SAMP-0392,60.15,1.94,2.025,1.6875,1.26,242.6086,INSULATOR,168750.0
SAMP-0393,91.93,5.46,4.502,3.7517,2.48,916.0353,CONDUCTIVE_METAL,2.67
SAMP-0394,66.1,6.37,0.889,0.7408,1.9,189.4656,CONDUCTIVE_METAL,13.5
SAMP-0395,42.36,4.06,0.947,0.7892,1.88,196.8991,INSULATOR,78916.67
SAMP-0396,99.94,2.85,2.835,2.3625,4.77,1209.1706,CONDUCTIVE_METAL,4.23
SAMP-0397,39.1,0.83,2.837,2.3642,2.37,601.1293,INSULATOR,236416.67
SAMP-0398,57.17,4.03,3.299,2.7492,2.29,657.0142,INSULATOR,274916.67
SAMP-0399,81.86,7.25,2.163,1.8025,4.43,900.1412,CONDUCTIVE_METAL,5.55
SAMP-0400,55.68,8.2,4.078,3.3983,1.63,555.7131,CONDUCTIVE_METAL,2.94
SAMP-0401,48.04,2.29,0.956,0.7967,3.4,358.7285,INSULATOR,79666.67
SAMP-0402,51.82,7.31,1.862,1.5517,4.89,879.3154,CONDUCTIVE_METAL,6.44
SAMP-0403,81.72,2.67,2.443,2.0358,1.16,260.3606,CONDUCTIVE_METAL,4.91
SAMP-0404,29.28,2.02,1.087,0.9058,4.12,480.7615,INSULATOR,90583.33
SAMP-0405,48.04,0.3,0.835,0.6958,1.17,111.1668,INSULATOR,69583.33
SAMP-0406,67.8,4.92,2.038,1.6983,3.94,762.6039,INSULATOR,169833.33
SAMP-0407,93.01,7.95,2.376,1.98,4.95,1086.0437,CONDUCTIVE_METAL,5.05
SAMP-0408,85.69,5.15,2.527,2.1058,1.63,376.1072,CONDUCTIVE_METAL,4.75
SAMP-0409,94.02,6.51,0.968,0.8067,4.64,494.3459,CONDUCTIVE_METAL,12.4
SAMP-0410,54.22,0.03,1.462,1.2183,4.06,600.153,INSULATOR,121833.33
SAMP-0411,59.14,1.93,4.883,4.0692,4.87,1920.7593,INSULATOR,406916.67
SAMP-0412,43.6,9.07,1.776,1.48,3.76,650.6084,CONDUCTIVE_METAL,6.76
SAMP-0413,20.14,6.89,2.183,1.8192,1.32,270.2376,CONDUCTIVE_METAL,5.5
SAMP-0414,88.23,7.95,4.558,3.7983,3.32,1238.6221,CONDUCTIVE_METAL,2.63
SAMP-0415,52.04,0.7,2.568,2.14,1.95,455.9058,INSULATOR,214000.0
SAMP-0416,74.88,7.92,4.538,3.7817,4.71,1750.9669,CONDUCTIVE_METAL,2.64
SAMP-0417,44.58,2.26,3.962,3.3017,4.6,1531.9591,INSULATOR,330166.67
SAMP-0418,47.52,9.31,3.071,2.5592,3.73,1009.3856,CONDUCTIVE_METAL,3.91
SAMP-0419,50.49,7.54,1.32,1.1,1.23,167.4934,CONDUCTIVE_METAL,9.09
SAMP-0420,45.14,4.16,2.97,2.475,1.37,360.7474,INSULATOR,247500.0
SAMP-0421,51.34,4.73,2.522,2.1017,1.8,414.6609,INSULATOR,210166.67
SAMP-0422,39.2,9.48,1.716,1.43,3.72,625.9674,CONDUCTIVE_METAL,6.99
SAMP-0423,37.01,6.75,4.791,3.9925,2.87,1114.7184,CONDUCTIVE_METAL,2.5
SAMP-0424,46.46,4.82,1.947,1.6225,4.9,913.7386,INSULATOR,162250.0
SAMP-0425,23.82,5.65,4.089,3.4075,4.45,1520.4503,CONDUCTIVE_METAL,2.93
SAMP-0426,65.61,8.73,3.947,3.2892,2.07,687.2611,CONDUCTIVE_METAL,3.04
SAMP-0427,21.06,7.56,3.143,2.6192,4.33,1194.1414,CONDUCTIVE_METAL,3.82
SAMP-0428,97.26,3.19,1.879,1.5658,4.93,893.0916,CONDUCTIVE_METAL,6.39
SAMP-0429,52.84,0.8,4.425,3.6875,1.29,469.8834,INSULATOR,368750.0
SAMP-0430,77.73,5.66,3.725,3.1042,1.58,500.462,CONDUCTIVE_METAL,3.22
SAMP-0431,75.5,3.6,0.514,0.4283,3.62,239.5442,CONDUCTIVE_METAL,23.35
SAMP-0432,23.07,8.62,0.868,0.7233,1.37,134.114,CONDUCTIVE_METAL,13.82
SAMP-0433,97.17,0.21,4.883,4.0692,3.8,1498.7444,CONDUCTIVE_METAL,2.46
SAMP-0434,50.99,4.19,4.465,3.7208,1.41,517.3461,INSULATOR,372083.33
SAMP-0435,24.24,1.17,3.315,2.7625,2.67,769.068,INSULATOR,276250.0
SAMP-0436,75.56,4.97,2.296,1.9133,2.2,469.3586,CONDUCTIVE_METAL,5.23
SAMP-0437,20.11,0.04,4.033,3.3608,2.25,760.212,INSULATOR,336083.33
SAMP-0438,89.42,5.68,0.758,0.6317,3.45,304.4367,CONDUCTIVE_METAL,15.83
SAMP-0439,30.7,8.27,3.955,3.2958,2.01,668.4388,CONDUCTIVE_METAL,3.03
SAMP-0440,71.95,9.43,2.623,2.1858,4.07,968.1926,CONDUCTIVE_METAL,4.57
SAMP-0441,86.12,7.31,4.362,3.635,1.82,655.2871,CONDUCTIVE_METAL,2.75
SAMP-0442,46.76,0.94,3.544,2.9533,3.4,1034.1461,INSULATOR,295333.33
SAMP-0443,79.87,4.06,3.31,2.7583,3.51,1009.7778,CONDUCTIVE_METAL,3.63
SAMP-0444,62.79,4.77,2.34,1.95,3.25,704.2137,INSULATOR,195000.0
SAMP-0445,32.42,7.59,3.199,2.6658,3.4,951.2806,CONDUCTIVE_METAL,3.75
SAMP-0446,27.3,1.69,2.438,2.0317,3.05,683.423,INSULATOR,203166.67
SAMP-0447,48.78,6.38,0.936,0.78,3.72,386.0817,CONDUCTIVE_METAL,12.82
SAMP-0448,36.62,3.61,3.332,2.7767,4.55,1316.064,INSULATOR,277666.67
SAMP-0449,46.65,6.05,2.227,1.8558,3.24,674.2132,CONDUCTIVE_METAL,5.39
SAMP-0450,52.46,7.45,1.654,1.3783,1.91,311.9457,CONDUCTIVE_METAL,7.26
SAMP-0451,44.62,3.96,0.702,0.585,1.27,105.748,INSULATOR,58500.0
SAMP-0452,65.7,4.5,2.955,2.4625,1.78,466.773,INSULATOR,246250.0
SAMP-0453,74.4,9.39,3.554,2.9617,1.79,545.6986,CONDUCTIVE_METAL,3.38
SAMP-0454,51.53,0.54,1.692,1.41,4.42,735.3044,INSULATOR,141000.0
SAMP-0455,25.17,4.4,0.931,0.7758,3.03,313.1625,INSULATOR,77583.33
SAMP-0456,60.66,6.15,3.186,2.655,3.64,1015.05,CONDUCTIVE_METAL,3.77
SAMP-0457,26.43,3.46,3.073,2.5608,1.53,414.2578,INSULATOR,256083.33
SAMP-0458,71.74,4.42,3.149,2.6242,1.3,359.0769,CONDUCTIVE_METAL,3.81
SAMP-0459,64.97,4.01,2.145,1.7875,1.45,292.6247,INSULATOR,178750.0
SAMP-0460,74.22,4.04,4.977,4.1475,4.31,1726.2081,CONDUCTIVE_METAL,2.41
SAMP-0461,60.74,0.04,4.105,3.4208,2.97,1017.9926,INSULATOR,342083.33
SAMP-0462,83.89,8.49,1.388,1.1567,4.46,632.3004,CONDUCTIVE_METAL,8.65
SAMP-0463,95.71,1.76,1.481,1.2342,3.89,581.0387,CONDUCTIVE_METAL,8.1
SAMP-0464,40.42,4.24,0.523,0.4358,2.02,135.3541,INSULATOR,43583.33
SAMP-0465,34.45,0.74,4.92,4.1,4.89,1940.416,INSULATOR,410000.0
SAMP-0466,27.63,9.98,4.449,3.7075,4.73,1730.4619,CONDUCTIVE_METAL,2.7
SAMP-0467,69.13,7.21,1.172,0.9767,1.31,162.2491,CONDUCTIVE_METAL,10.24
SAMP-0468,81.33,7.59,3.575,2.9792,1.64,502.3745,CONDUCTIVE_METAL,3.36
SAMP-0469,86.63,7.36,1.078,0.8983,4.19,485.7344,CONDUCTIVE_METAL,11.13
SAMP-0470,77.64,1.88,4.89,4.075,4.94,1950.6187,CONDUCTIVE_METAL,2.45
SAMP-0471,29.6,9.94,0.67,0.5583,3.37,270.952,CONDUCTIVE_METAL,17.91
SAMP-0472,38.94,2.17,0.909,0.7575,3.96,401.7511,INSULATOR,75750.0
SAMP-0473,64.67,3.81,0.886,0.7383,1.39,138.247,INSULATOR,73833.33
SAMP-0474,23.7,8.52,4.566,3.805,3.74,1397.2942,CONDUCTIVE_METAL,2.63
SAMP-0475,87.3,0.92,0.564,0.47,2.69,190.4132,CONDUCTIVE_METAL,21.28
SAMP-0476,90.34,6.37,0.728,0.6067,4.65,397.9577,CONDUCTIVE_METAL,16.48
SAMP-0477,99.87,2.7,4.24,3.5333,1.89,665.0338,CONDUCTIVE_METAL,2.83
SAMP-0478,45.39,0.01,4.56,3.8,3.86,1440.5954,INSULATOR,380000.0
SAMP-0479,90.65,6.11,2.596,2.1633,1.25,294.8508,CONDUCTIVE_METAL,4.62
SAMP-0480,79.65,7.33,3.912,3.26,1.8,593.3099,CONDUCTIVE_METAL,3.07
SAMP-0481,98.53,8.97,3.798,3.165,2.18,701.4975,CONDUCTIVE_METAL,3.16
SAMP-0482,60.16,1.79,4.263,3.5525,1.55,547.794,INSULATOR,355250.0
SAMP-0483,86.49,2.01,2.592,2.16,4.54,1069.5485,CONDUCTIVE_METAL,4.63
SAMP-0484,53.81,5.2,2.037,1.6975,1.88,363.7364,CONDUCTIVE_METAL,5.89
SAMP-0485,58.73,1.38,4.877,4.0642,3.01,1185.9874,INSULATOR,406416.67
SAMP-0486,85.21,2.02,4.348,3.6233,3.91,1404.128,CONDUCTIVE_METAL,2.76
SAMP-0487,51.01,0.33,3.599,2.9992,3.5,1077.9986,INSULATOR,299916.67
SAMP-0488,80.79,4.87,1.66,1.3833,1.46,239.1515,CONDUCTIVE_METAL,7.23
SAMP-0489,56.92,5.26,2.26,1.8833,1.51,318.0164,CONDUCTIVE_METAL,5.31
SAMP-0490,21.62,0.39,3.592,2.9933,1.15,353.6384,INSULATOR,299333.33
SAMP-0491,44.74,8.89,4.777,3.9808,4.06,1573.2004,CONDUCTIVE_METAL,2.51
SAMP-0492,80.07,6.99,4.281,3.5675,1.27,450.3724,CONDUCTIVE_METAL,2.8
SAMP-0493,88.61,4.94,2.4,2.0,2.03,449.0627,CONDUCTIVE_METAL,5.0
SAMP-0494,97.3,1.81,4.215,3.5125,4.65,1628.3713,CONDUCTIVE_METAL,2.85
SAMP-0495,35.72,2.32,2.484,2.07,3.74,850.9419,INSULATOR,207000.0
SAMP-0496,36.97,4.75,0.66,0.55,2.59,205.9116,INSULATOR,55000.0
SAMP-0497,83.94,2.13,3.029,2.5242,3.82,1022.1771,CONDUCTIVE_METAL,3.96
SAMP-0498,38.39,8.15,4.761,3.9675,4.69,1812.4053,CONDUCTIVE_METAL,2.52
SAMP-0499,39.1,9.7,2.417,2.0142,2.14,476.1363,CONDUCTIVE_METAL,4.96
SAMP-0500,89.74,5.32,2.744,2.2867,3.63,895.9647,CONDUCTIVE_METAL,4.37
SAMP-0501,66.09,1.17,3.657,3.0475,2.98,929.8632,INSULATOR,304750.0
SAMP-0502,75.95,5.85,2.058,1.715,2.93,571.6511,CONDUCTIVE_METAL,5.83
SAMP-0503,72.66,0.35,4.373,3.6442,3.18,1147.2889,CONDUCTIVE_METAL,2.74
SAMP-0504,70.6,4.16,4.353,3.6275,2.91,1045.9888,CONDUCTIVE_METAL,2.76
SAMP-0505,26.11,6.82,2.87,2.3917,4.83,1236.7235,CONDUCTIVE_METAL,4.18
SAMP-0506,72.79,2.98,0.768,0.64,4.81,428.6983,CONDUCTIVE_METAL,15.62
SAMP-0507,67.25,6.89,2.385,1.9875,2.71,596.4223,CONDUCTIVE_METAL,5.03
SAMP-0508,77.05,3.7,2.853,2.3775,1.82,463.754,CONDUCTIVE_METAL,4.21
SAMP-0509,89.55,7.86,4.637,3.8642,3.9,1475.3495,CONDUCTIVE_METAL,2.59
SAMP-0510,26.04,4.41,2.889,2.4075,2.99,769.7313,INSULATOR,240750.0
SAMP-0511,97.29,5.56,3.498,2.915,3.78,1137.5541,CONDUCTIVE_METAL,3.43
SAMP-0512,89.95,7.34,3.962,3.3017,4.39,1462.0218,CONDUCTIVE_METAL,3.03
SAMP-0513,89.33,4.27,3.345,2.7875,4.76,1381.1853,CONDUCTIVE_METAL,3.59
SAMP-0514,67.84,8.33,1.414,1.1783,3.5,503.6565,CONDUCTIVE_METAL,8.49
SAMP-0515,52.84,1.46,1.109,0.9242,1.01,119.7361,INSULATOR,92416.67
SAMP-0516,69.11,1.76,3.334,2.7783,2.82,816.0698,CONDUCTIVE_METAL,3.6
SAMP-0517,89.12,6.88,4.467,3.7225,2.08,763.4537,CONDUCTIVE_METAL,2.69
SAMP-0518,47.81,7.21,4.006,3.3383,3.6,1209.7247,CONDUCTIVE_METAL,3.0
SAMP-0519,99.93,4.63,1.843,1.5358,1.8,320.9838,CONDUCTIVE_METAL,6.51
SAMP-0520,70.45,1.28,0.543,0.4525,1.74,119.8073,CONDUCTIVE_METAL,22.1
SAMP-0521,58.72,1.18,2.741,2.2842,2.94,725.0086,INSULATOR,228416.67
SAMP-0522,48.82,1.06,3.272,2.7267,4.04,1151.3532,INSULATOR,272666.67
SAMP-0523,21.18,9.52,3.534,2.945,3.88,1177.4297,CONDUCTIVE_METAL,3.4
SAMP-0524,42.11,8.42,2.467,2.0558,1.47,332.588,CONDUCTIVE_METAL,4.86
SAMP-0525,52.61,0.1,2.556,2.13,3.76,875.719,INSULATOR,213000.0
SAMP-0526,30.89,7.36,3.801,3.1675,1.36,437.9125,CONDUCTIVE_METAL,3.16
SAMP-0527,22.09,8.27,4.966,4.1383,4.55,1819.0864,CONDUCTIVE_METAL,2.42
SAMP-0528,45.27,2.02,3.684,3.07,2.18,684.3203,INSULATOR,307000.0
SAMP-0529,78.07,1.21,1.327,1.1058,1.8,246.1527,CONDUCTIVE_METAL,9.04
SAMP-0530,57.01,9.89,4.06,3.3833,4.24,1440.3562,CONDUCTIVE_METAL,2.96
SAMP-0531,43.89,7.64,4.626,3.855,3.78,1427.2136,CONDUCTIVE_METAL,2.59
SAMP-0532,21.92,1.85,2.083,1.7358,1.48,291.6116,INSULATOR,173583.33
SAMP-0533,61.39,4.97,3.492,2.91,1.74,522.904,INSULATOR,291000.0
SAMP-0534,47.88,8.87,1.673,1.3942,2.63,433.5336,CONDUCTIVE_METAL,7.17
SAMP-0535,53.34,6.13,0.964,0.8033,1.84,195.4013,CONDUCTIVE_METAL,12.45
SAMP-0536,39.94,3.55,3.509,2.9242,4.52,1363.7343,INSULATOR,292416.67
SAMP-0537,43.51,9.28,0.912,0.76,1.59,161.722,CONDUCTIVE_METAL,13.16
SAMP-0538,27.02,0.2,3.844,3.2033,1.19,386.6939,INSULATOR,320333.33
SAMP-0539,90.47,8.47,4.375,3.6458,1.83,660.4767,CONDUCTIVE_METAL,2.74
SAMP-0540,91.67,1.67,1.42,1.1833,3.2,462.0567,CONDUCTIVE_METAL,8.45
SAMP-0541,62.08,9.09,4.923,4.1025,1.98,786.0759,CONDUCTIVE_METAL,2.44
SAMP-0542,77.67,5.42,1.532,1.2767,1.46,224.1163,CONDUCTIVE_METAL,7.83
SAMP-0543,98.89,4.66,1.011,0.8425,4.4,484.9871,CONDUCTIVE_METAL,11.87
SAMP-0544,58.37,9.76,1.592,1.3267,1.73,273.9394,CONDUCTIVE_METAL,7.54
SAMP-0545,91.22,1.62,1.564,1.3033,1.25,195.1127,CONDUCTIVE_METAL,7.67
SAMP-0546,99.27,0.17,0.565,0.4708,3.11,220.4283,CONDUCTIVE_METAL,21.24
SAMP-0547,72.38,7.34,1.759,1.4658,2.2,377.7115,CONDUCTIVE_METAL,6.82
SAMP-0548,73.69,3.92,4.469,3.7242,4.84,1777.1412,CONDUCTIVE_METAL,2.69
SAMP-0549,21.95,0.6,0.741,0.6175,1.73,150.0544,INSULATOR,61750.0
SAMP-0550,23.22,9.09,3.905,3.2542,2.32,763.5986,CONDUCTIVE_METAL,3.07
SAMP-0551,68.34,4.09,2.584,2.1533,2.29,538.1237,CONDUCTIVE_METAL,4.64
SAMP-0552,87.1,0.05,1.669,1.3908,1.45,238.5569,CONDUCTIVE_METAL,7.19
